"","chimp","sex","ageDays","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal","BMI","BPs","BPd"
"94","Artifee",0,20.8027397260274,17000,5.14,38.8,12,75.5,23.3,30.9,0.04,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Artifee",0,21.8109589041096,14000,5.07,41.5,13.1,81.9,25.8,31.6,0.033,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Artifee",0,25.9342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,9,1.1,7.5,3.4,0.2,66,44,19,240,10.1,2.7,138,3.4,104,4.1,107,61,272,NA,NA,NA
"97","Atlanta",0,30.9452054794521,7600,5.44,44.6,13.9,82,25.6,31.2,0.049,2,0,82,14,0.7,7.5,3.2,0.4,68,33,13,189,10.2,4.8,141,3.3,99,4.3,105,NA,NA,NA,NA,NA
"98","Atlanta",0,32.3671232876712,11700,5.28,41.1,12.4,77.8,23.5,30.2,0.05,7,1,107,17,0.4,7.7,3,0.3,68,41,22,212,9.2,3.3,144,3.2,91,4.7,182,NA,NA,NA,NA,NA
"99","Atlanta",0,33.386301369863,18800,5.95,49.1,15,82.5,25.2,30.5,0.062,7,0,123,15,1,7.4,3.1,0.1,68,38,19,151,9.8,1.6,145,3.4,98,4.3,384,24,288,NA,NA,NA
"100","Atlanta",0,35.0082191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,10,1,7.9,3,0.1,82,24,19,203,10.3,5.1,146,3.3,102,4.9,286,22,288,NA,NA,NA
"101","Augusta",0,22.5917808219178,24500,4.9,40.9,13.4,83.5,27.3,32.8,0.036,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Augusta",0,23.6630136986301,11000,4.49,38.1,12.7,84.9,28.3,33.3,0.06,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Augusta",0,24.6246575342466,14400,4.68,39.7,13.1,84.8,28,33,0.034,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Augusta",0,25.6054794520548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,8,1.2,7.7,3.8,0.2,108,23,16,190,9.3,3.5,139,3.6,103,3.9,68,19,273,NA,NA,NA
"105","Augusta",0,26.6767123287671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,6,0.9,7.2,3.8,0.2,80,23,15,198,8.9,2.3,145,3.8,104,3.4,66,17,284,NA,NA,NA
"106","Augusta",0,27.6328767123288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,6,0.8,7.4,3.6,0.2,59,21,6,201,9.3,3.1,138,3.5,105,3.8,72,14,270,NA,NA,NA
"107","Augusta",0,28.6547945205479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,10,1,7.2,3.4,0.3,56,22,17,196,9,3.7,141,3.7,103,3.8,137,16,277,NA,NA,NA
"108","Azalea",0,11.441095890411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149",89
"109","Azalea",0,13.7890410958904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.77,NA,NA
"110","Azalea",0,14.3616438356164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.91,"129",69
"111","Azalea",0,13.3616438356164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.88,"105",87
"112","Barbara",NA,24.1397260273973,13100,5.05,42.1,14.1,83.4,27.9,33.5,0.03,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Barbara",NA,25.2438356164384,8400,5.18,42.5,14.3,82,27.6,33.6,0.057,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Barbara",NA,26.1890410958904,8600,4.78,41.1,13.6,86,28.5,33.1,0.029,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Barbara",NA,38.1698630136986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.85,"154",85
"117","Barbara",NA,29.3561643835616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,11,0.7,8,3.8,0.1,63,41,30,254,9.6,2,149,3.2,106,4.2,168,14,292,NA,NA,NA
"118","Barbara",NA,30.2383561643836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,13,0.9,7.1,3.2,0.1,53,35,19,258,8.5,2.3,145,3,114,3.9,115,15,285,NA,NA,NA
