Subject,Rater,DOR,Group,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp
Nina,Andrea Sanna,14/05/2013,group1,3,4,4,4,4,1,3,3,4,2,4,3,4,4,5,4,2,3,4,1,4,4,1,2,4,5,4,4,3,2,2,4,3,3,4,4,4,1,4,4,3,4,5,4,3,2,3,3,3,4,2,4,3,4
Nina,Melissa Messinese,14/05/2013,group1,2,5,2,5,5,1,3,1,3,2,1,1,3,3,3,2,2,2,3,1,2,3,2,2,2,2,3,3,2,3,5,3,4,3,3,3,4,1,4,3,4,3,3,4,4,4,1,1,3,4,4,1,4,3
Nina,Elena Vero,14/05/2013,group1,4,4,4,4,3,1,3,1,4,5,2,1,4,4,2,4,4,2,1,4,4,4,4,4,1,4,5,5,4,4,2,4,5,5,4,6,5,1,5,5,1,5,4,1,2,1,4,4,4,4,1,4,1,5
Ninfa,Arianna De Marco,14/05/2013,group1,4,2,5,4,6,1,5,2,3,3,2,2,6,4,3,4,4,2,6,2,4,3,2,3,2,6,6,4,2,5,5,5,6,2,3,5,4,1,4,4,1,5,6,3,3,1,2,7,3,3,2,4,4,3
Ninfa,Andrea Sanna,14/05/2013,group1,3,2,4,4,4,1,3,3,4,2,4,3,4,4,3,4,3,3,5,1,4,4,1,1,4,6,4,4,4,3,5,4,5,3,4,4,4,1,4,4,3,4,4,4,3,1,4,4,4,4,3,3,3,3
Ninfa,Melissa Messinese,14/05/2013,group1,3,2,1,6,2,1,3,1,2,1,1,1,3,3,5,2,2,2,5,2,3,3,1,1,2,3,3,3,1,3,5,2,4,1,4,4,4,1,4,5,1,2,2,4,4,2,3,5,5,1,4,1,4,2
Ninfa,Elena Vero,14/05/2013,group1,5,2,4,5,4,1,2,1,4,1,1,1,6,4,5,5,5,1,3,4,4,4,1,1,1,6,6,3,2,4,5,5,6,1,4,6,2,1,4,4,1,4,4,1,1,1,1,5,2,4,4,4,1,2
Olga,Carine Morin,26/01/2008,gaetan,7,1,1,7,2,1,2,2,2,1,3,2,4,5,7,4,1,3,6,2,3,5,2,2,3,4,4,2,5,1,1,2,5,3,3,3,2,3,4,4,3,4,2,6,2,4,2,5,6,5,4,2,1,3
Olga,Sophie Steelandt,27/07/2008,gaetan,6,2,2,7,4,1,3,1,1,2,3,1,7,2,6,6,3,5,6,4,4,6,2,2,2,7,7,2,2,5,5,4,5,1,2,6,4,5,6,6,1,6,5,3,4,2,1,6,6,3,2,2,4,2
Olga,Cedric Sueur,28/10/2008,gaetan,6,1,2,6,3,1,6,2,4,2,7,3,3,4,6,3,5,7,6,6,4,2,2,2,2,5,3,5,2,6,7,3,2,4,5,3,3,6,3,5,2,4,4,4,5,2,2,2,6,3,2,2,2,6
Pallas,Arianna De Marco,14/05/2013,group2,5,3,3,5,3,1,1,2,3,2,2,2,3,4,5,1,1,2,5,2,3,2,3,3,2,4,3,3,2,3,5,3,4,3,5,6,3,1,6,3,1,3,3,5,2,1,3,4,5,4,5,6,4,5
Pallas,Andrea Sanna,14/05/2013,group2,4,3,4,4,3,1,2,4,4,1,5,2,3,4,4,4,3,3,3,1,4,4,4,4,4,3,4,4,4,1,4,5,3,3,4,4,4,1,4,4,3,3,3,4,3,1,3,3,2,4,4,6,3,5
Pallas,Melissa Messinese,14/05/2013,group2,5,2,2,5,2,1,2,1,3,1,1,1,3,5,3,1,1,2,5,1,2,1,1,1,2,2,2,2,1,5,6,3,3,5,6,3,4,2,4,3,4,1,2,4,2,2,3,2,4,3,1,5,2,2
Palmira,Arianna De Marco,14/05/2013,group2,5,2,5,5,5,1,4,2,3,2,2,2,6,4,4,4,2,2,5,4,6,3,2,2,2,6,5,3,2,5,5,5,6,2,3,5,3,1,4,4,1,4,6,3,4,1,2,6,2,3,2,4,4,5
Palmira,Andrea Sanna,14/05/2013,group2,5,2,3,5,4,1,4,2,3,1,4,2,5,4,4,4,4,2,5,4,4,4,1,1,4,4,4,4,4,5,6,4,4,3,4,4,4,1,3,4,2,4,4,4,5,1,3,5,4,3,3,4,3,3
Palmira,Melissa Messinese,14/05/2013,group2,5,1,1,7,2,1,2,1,2,2,1,1,3,1,5,2,1,3,6,3,3,3,1,1,1,3,5,3,2,2,6,3,5,2,4,4,2,2,4,5,1,3,5,4,1,2,2,3,3,1,4,1,1,2
Palos,Arianna De Marco,14/05/2013,group2,4,3,4,5,6,1,2,1,2,2,2,1,3,4,5,2,2,5,6,5,2,2,3,2,2,5,4,2,2,3,6,6,4,2,3,6,3,5,7,4,1,4,3,4,5,1,1,3,2,6,2,6,4,4
Palos,Andrea Sanna,14/05/2013,group2,4,2,4,6,5,1,3,2,1,1,4,1,1,4,5,4,3,7,5,2,2,4,1,2,4,5,4,4,3,2,7,5,3,3,4,5,4,4,4,4,2,4,4,4,4,1,2,2,5,3,2,5,3,4
