Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
lash	2009.02.24	53	2	1	threerisk	High	3	0.9	0.817	<n/a>	0	8	8	0.777	836.85	842.633	847.333	848.233	5	bl	bl	3.033333	2	6	0	Right	1206	1206	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	54	2	1	threerisk	High	3	0.867	0.833	<n/a>	1	7	7	0.777	855.967	863.533	868.25	869.117	5	bl	bl	3.016667	2	6	0	Right	4	4	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	55	2	0	threerisk	Low	3	0.867	0.95	1	1	4	6	0.777	876.95	886.033	890.767	891.633	5	bl	bl	3.016667	0	6	0	Left	1439	603	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	56	2	0	threerisk	Medium	3	1.5	0.983	0	1	8	7	0.777	895.6	896.383	901.083	902.583	5	bl	bl	3.633333	0	7	0	Middle	1475	2478	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	57	2	1	threerisk	Medium	3	1.617	0.533	<n/a>	0	5	5	0.777	905.767	907.217	910.917	912.533	5	bl	bl	2.75	0	7	0	Middle	916	916	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	58	2	1	threerisk	High	3	1.25	0.483	<n/a>	0	8	8	0.777	916.65	917.417	922.15	923.4	5	bl	bl	3.4	2	9	0	Right	667	667	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	59	2	1	threerisk	High	3	1.083	0.383	<n/a>	1	4	4	0.777	931.167	937.833	942.567	943.65	5	bl	bl	3.233333	2	6	0	Right	1297	1297	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	60	2	0	threerisk	Low	3	1.183	0.8	1	0	6	4	0.777	950.983	954.5	959.217	960.4	5	bl	bl	3.333333	0	6	0	Left	23	1894	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	1	2	1	threerisk	Low	3	1.333	1.017	<n/a>	0	8	8	0.394	1.25	4.267	8.933	10.267	5	bl	bl	3.416667	0	6	0	Left	2307	2307	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	2	2	0	threerisk	Low	3	1.833	0.8	0	0	5	6	0.394	14.683	18.283	23.017	24.85	5	bl	bl	4	0	7	0	Left	992	2012	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	3	2	1	threerisk	Low	3	0.717	0.867	<n/a>	0	8	8	0.394	28.583	30.95	35.65	36.367	5	bl	bl	2.85	0	8	0	Left	816	816	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
