Sub	Date	Trial	Accuracy	Risk
ebbi	2011.02.14	13	1	High
ebbi	2011.02.14	14	1	High
ebbi	2011.02.14	15	1	Low
ebbi	2011.02.14	16	0	Low
ebbi	2011.02.14	17	1	High
ebbi	2011.02.14	18	1	High
ebbi	2011.02.14	19	1	High
ebbi	2011.02.14	20	1	High
ebbi	2011.02.14	21	1	High
ebbi	2011.02.14	22	1	High
ebbi	2011.02.14	23	1	High
ebbi	2011.02.14	24	1	High
ebbi	2011.02.14	25	0	Low
ebbi	2011.02.14	26	1	Medium
ebbi	2011.02.14	27	1	Low
ebbi	2011.02.14	28	1	High
ebbi	2011.02.14	29	0	Low
ebbi	2011.02.14	30	1	Medium
ebbi	2011.02.14	31	1	Low
ebbi	2011.02.14	32	1	High
ebbi	2011.02.14	33	1	High
ebbi	2011.02.14	34	0	Low
ebbi	2011.02.14	35	0	Low
ebbi	2011.02.14	36	1	Medium
ebbi	2011.02.14	37	1	High
ebbi	2011.02.14	38	1	High
ebbi	2011.02.14	39	1	High
ebbi	2011.02.14	40	1	High
ebbi	2011.02.14	41	1	High
ebbi	2011.02.14	42	1	Medium
ebbi	2011.02.14	43	1	Medium
ebbi	2011.02.14	44	1	High
ebbi	2011.02.14	45	0	Low
ebbi	2011.02.14	46	0	Medium
ebbi	2011.02.14	47	1	Low
ebbi	2011.02.14	48	1	Medium
ebbi	2011.02.14	49	0	Low
ebbi	2011.02.14	50	1	High
ebbi	2011.02.14	51	1	High
ebbi	2011.02.14	52	1	High
ebbi	2011.02.14	53	1	High
ebbi	2011.02.14	54	1	Medium
ebbi	2011.02.14	55	0	Low
ebbi	2011.02.14	56	0	Low
ebbi	2011.02.14	57	1	High
ebbi	2011.02.14	58	1	Medium
ebbi	2011.02.14	59	0	Low
ebbi	2011.02.14	60	0	Low
