Sub	Date	Trial	Accuracy	Risk
lash	2011.03.08	34	1	Medium
lash	2011.03.08	35	1	Medium
lash	2011.03.08	36	1	Medium
lash	2011.03.08	37	1	Low
lash	2011.03.08	38	0	Low
lash	2011.03.08	39	1	Low
lash	2011.03.08	40	1	High
lash	2011.03.08	41	1	Medium
lash	2011.03.08	42	1	Medium
lash	2011.03.08	43	0	Low
lash	2011.03.08	44	1	High
lash	2011.03.08	45	0	High
lash	2011.03.08	46	1	Medium
lash	2011.03.08	47	0	Low
lash	2011.03.08	48	0	Medium
lash	2011.03.08	49	1	High
lash	2011.03.08	50	1	Low
lash	2011.03.08	51	1	Low
lash	2011.03.08	52	1	Low
lash	2011.03.08	53	1	Medium
lash	2011.03.08	54	1	Medium
lash	2011.03.08	55	1	High
lash	2011.03.08	56	1	High
lash	2011.03.08	57	1	High
lash	2011.03.08	58	1	High
lash	2011.03.08	59	1	Medium
lash	2011.03.08	60	1	Low
