sex,status,age_pr,age,origin,sample,Dom,Ext,Con,Agr,Neu,Opn
1,1,20.13689254,29.06630212,WILD,2,4.777777778,4.925925926,4.962962963,4.333333333,4.222222222,3
0,1,31.27173169,33.11551606,WILD,2,5.777777778,3.592592593,5.296296296,3.666666667,3.222222222,4.666666667
0,0,22.85831622,34.56732741,CAPTIVE,2,4.777777778,4.037037037,4.592592593,3.133333333,4.222222222,4.5
0,0,26.091718,48.02187286,CAPTIVE,2,5.694444445,5.555555556,5.62962963,5.266666667,4.555555556,5.833333334
1,1,17.20300752,28.6151743,CAPTIVE,6,6.083333333,4.777777778,5.444444444,4,2.666666667,3
1,0,30.45311431,52.18865345,WILD,2,4.770833333,3.194444444,2.833333333,2.85,5.583333333,2.875
0,0,23.13483915,42.20095694,WILD,2,6.444444445,4.740740741,4.259259259,4,3,6.166666667
0,0,24.43896874,34.5290499,CAPTIVE,4,2.822222222,3.433333333,4.571428572,3.555555556,4.533333333,3.333333333
1,1,36.21902806,48.6479836,WILD,2,5.416666667,3.407407407,4.888888889,3.6,4.777777778,3.5
1,0,24.54848277,34.70676692,CAPTIVE,4,4.088888889,4.1,4.166666667,3.722222222,3.6,4
0,0,10.50422085,18.09706083,CAPTIVE,4,3.733333333,5.333333333,4.80952381,3.722222222,4.2,4.916666667
0,0,12.89253936,33.96582365,CAPTIVE,2,4.75,4.148148148,5.111111111,4.366666667,3.277777778,4.333333333
0,0,27.71617614,36.70539986,WILD,4,4.955555556,4.2,5.69047619,4.5,2.6,2.5
1,0,3.12936345,25.08817498,CAPTIVE,2,2.888888889,6.111111111,5.703703704,3.866666667,3.777777778,3.666666667
0,0,24.22997947,46.19548872,WILD,2,4.611111111,4.851851852,4.037037037,4,6,4
0,1,39.50444901,50.35406699,WILD,2,2.638888889,4.333333333,5.740740741,5,4.444444444,2.833333333
1,0,21.83070956,32.02187286,CAPTIVE,4,3.844444445,4.266666667,4.619047619,4.111111111,3,4.083333333
0,1,37.25941136,50.94463431,WILD,2,3.333333333,5,6.518518519,6.533333333,4.333333333,4.5
0,1,35.40406115,36.83937116,WILD,4,4.955555556,4.666666667,4.595238095,4.277777778,4.133333333,4.583333333
0,0,37.82249601,45.69241285,CAPTIVE,4,4.333333333,3.266666667,4,2.888888889,4.466666667,4.333333333
0,0,6.510609172,27.59261791,CAPTIVE,2,2.708333333,3.685185185,6.222222222,4.066666667,4.055555555,3.083333333
1,0,18.28024607,24.47573479,CAPTIVE,3,4.766666667,4.35,4.071428571,3.708333333,3.8,3.1875
0,0,3.082819986,19.56527683,CAPTIVE,2,4.395833333,6.055555556,5.055555556,4.95,4.25,5.5
0,0,40.61692904,50.68489405,WILD,4,4.422222222,3.4,4.738095238,4.111111111,3.533333333,3.583333333
1,0,8.391512663,10.01503759,CAPTIVE,2,1.75,4.055555556,4.944444444,2.9,6.166666667,2.5
1,1,9.714285714,15.79767601,CAPTIVE,6,5.25,4.888888889,5,2.8,4.666666667,4
0,0,25.13620808,37.29596719,CAPTIVE,2,2.666666667,4.388888889,4.722222222,4.45,5.166666667,3.125
0,0,4.714579055,16.95146958,CAPTIVE,2,3.625,6.5,5.333333333,5.55,4.166666667,3.625
1,1,24.62337662,27.19070403,CAPTIVE,6,4.333333333,3.777777778,4.277777778,3.2,4.666666667,3.5
0,1,34.22861054,53.94395079,WILD,2,5.722222222,4.296296296,6.222222222,6.466666667,3.222222222,7
0,0,12.47573479,31.14969241,CAPTIVE,6,5.166666667,3.611111111,3.388888889,3.7,6,3.25
1,0,16.56856035,26.78605605,CAPTIVE,4,4.488888889,4.4,4.690476191,4.333333333,3.733333333,4.333333333
0,0,31.56741958,41.69788107,WILD,4,3.688888889,4.4,5,4.111111111,3.266666667,3.416666667
1,0,15.15126626,27.33834586,CAPTIVE,2,5.166666667,2.694444444,4.277777778,2.2,4.166666667,2
0,0,15.90234999,26.06151743,CAPTIVE,4,3.955555556,3.966666667,4.047619048,3.388888889,3.733333333,4
0,0,3.414099932,15.45591251,CAPTIVE,2,2.75,6.37037037,5.296296296,3.866666667,4.666666667,4.666666667
0,0,7.934291581,24.21599453,CAPTIVE,2,4.145833333,5.75,4.75,3.9,4.416666667,5.375
0,0,17.4770705,26.54545455,CAPTIVE,4,4.016666667,4.225,5.392857143,3.375,3.9,3.875
1,0,9.629021218,21.85919344,CAPTIVE,2,5.020833333,5.444444444,3.805555556,5.05,5.5,5.375
0,0,3.567419576,15.77580314,CAPTIVE,2,4.041666667,5.777777778,4.5,3.95,4.5,6.125
0,0,28.51380333,38.7012987,WILD,4,4.155555555,4.133333333,4.833333333,3.444444444,3.866666667,3.333333334
0,0,9.049897471,23.60082023,CAPTIVE,6,3.833333333,3.944444444,5.166666667,3.7,2.666666667,4
1,0,11.4934976,21.66233766,CAPTIVE,4,3.666666667,4.066666667,4.523809524,4.222222222,3.466666667,3.916666667
0,0,7.036276523,28.98427888,CAPTIVE,2,4.277777778,5.592592593,3.962962963,3.666666667,5.666666667,5
1,0,35.23887748,57.18113465,WILD,2,5.861111111,4.481481481,5.74074074,5.066666667,4.111111111,3.333333333
0,1,16.4101162,21.14559125,CAPTIVE,6,3.666666667,3.111111111,6.222222222,3.8,3.666666667,3
0,1,13.9301848,17.81818182,CAPTIVE,2,4.958333333,5.611111111,4.944444444,5.3,4.5,5.25
0,0,24.22997947,46.19548872,WILD,2,2.416666667,5.148148148,4.851851852,4.6,5.888888889,3.833333334
