sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
171,Youngstown St.,=,71.75,12,15,72.23,-163,0,1,|,0,3,|,,72.19  1,62,|,71.55,171,|,71.04  1,90
172,Santa Clara,=,71.7,10,18,75.21,-98,0,2,|,0,4,|,,70.94  1,82,|,71.99,165,|,69.88  2,4
173,Virginia Tech,=,71.69,9,18,76.65,-71,0,6,|,0,8,|,,72.26  1,61,|,72.15,163,|,67.65  2,49
174,Loyola Marymount,=,71.66,11,17,76.37,-77,0,3,|,1,4,|,,70.82  1,84,|,71.55,172,|,71.83  1,74
175,William & Mary,=,71.59,17,10,70.19,-218,0,1,|,0,1,|,,72.15  1,63,|,70.57,187,|,74.59  1,39
176,Drake,=,71.57,13,15,73.28,-127,0,3,|,0,3,|,,71.41  1,74,|,71.31,175,|,71.74  1,76
177,Washington St.,=,71.37,8,19,79.27,-21,0,2,|,1  1,0,|,,70.93  1,83,|,71.03,178,|,72.15  1,68
178,Central Florida(UCF),=,71.36,9,15,76.29,-81,0,6,|,0  1,0,|,,70.53  1,91,|,71.68,170,|,69.50  2,14
179,USC UpSt.,=,71.33,16,13,67.81,-292,0,1,|,0,2,|,,71.95  1,67,|,70.93,179,|,71.41  1,79
180,Oral Roberts,=,71.28,13,13,68.25,-278,0,2,|,0,5,|,,71.34  1,76,|,71.52,173,|,68.85  2,30
181,Mississippi St.,=,70.99,13,15,74.09,-116,0,3,|,0,5,|,,71.62  1,71,|,70.38,191,|,72.00  1,70
182,Kent St.,=,70.93,14,13,70.93,-197,0,0,|,0,0,|,,70.26  1,92,|,70.72,184,|,71.40  1,81
183,Siena,=,70.92,14,16,72.54,-153,0,0,|,0,1,|,,70.64  1,88,|,70.75,183,|,70.80  1,93
184,Wagner,=,70.86,16,11,67.54,-302,0,0,|,0,1,|,,70.59  1,89,|,70.25,193,|,72.76  1,61
185,Oakland-Mich.,=,70.79,9,19,75.63,-90,0,4,|,0,4,|,,69.99  1,97,|,70.93,180,|,69.77  2,8
186,Milwaukee,=,70.74,16,13,71.85,-168,0,1,|,0,1,|,,70.96  1,81,|,69.83,197,|,73.50  1,54
187,Elon,=,70.73,16,11,68.89,-261,0,1,|,0,3,|,,70.65  1,87,|,70.03,195,|,72.82  1,60
188,Rutgers,=,70.73,9,18,75.13,-99,0,4,|,0,9,|,,70.78  1,85,|,70.81,181,|,69.04  2,25
189,Florida Gulf Coast,=,70.69,17,11,66.85,-323,0,0,|,0,0,|,,70.99  1,80,|,70.09,194,|,71.97  1,71
