"","ID","location","Age","Sex","fWHR","Dom","Ext","Con","Agr","Neu","Opn","Subspecies","instrument"
"26","bf623f1a","a7adef23",NA,1,1.415445,4.28625,4.91666666666667,3.59166666666667,4.45,3.90333333333333,4.425,"troglodytes","99391edf"
"27","ec65bd88","b9c70733",32,1,1.740740741,5.77777777766667,5.3000000001,5.85714285721429,5.55555555533333,2.9333333334,3.91666666675,"verus","07995578"
"28","4b821283","a7adef23",NA,1,1.595331,4.93125,5.02666666666667,3.395,4.25,4.62666666666667,4.685,"troglodytes","99391edf"
"29","4b821283","a7adef23",NA,1,NA,4.93125,5.02666666666667,3.395,4.25,4.62666666666667,4.685,"troglodytes","99391edf"
"30","18859011","1b5b4aec",24,1,1.254012,4.36666666666667,3.05,5.17857142857143,3.41666666666667,3,2.125,"verus","07995578"
"31","18859011","1b5b4aec",24,1,1.225004,4.36666666666667,3.05,5.17857142857143,3.41666666666667,3,2.125,"verus","07995578"
"32","ed8d17a7","a7adef23",NA,0,NA,3.585,4.11166666666667,4.59166666666667,3.225,3.07333333333333,4.055,"verus","99391edf"
"33","ed8d17a7","a7adef23",NA,0,1.49868,3.585,4.11166666666667,4.59166666666667,3.225,3.07333333333333,4.055,"verus","99391edf"
"34","be8a9535","a7adef23",NA,1,1.390126,5.15625,5.36166666666667,3.45833333333333,4.665,4.44666666666667,4.875,"unknown","99391edf"
"35","dced1e8a","b9c70733",14,0,1.922413793,3.31111111113333,4.7333333333,4.47619047621429,3.44444444466667,3.7999999998,5.00000000025,"verus","07995578"
"36","8fea9c18","b9c70733",25,0,1.708333333,3.93333333333333,3.3666666667,5.35714285714286,3.22222222216667,4.8666666666,6.50000000025,"verus","07995578"
"37","7ae21bae","9b783f03",46,0,1.589905363,3.48333333333333,3.45,6,5,3.95,6.0625,"troglodytes","07995578"
"38","7ae21bae","9b783f03",48,0,1.48,3.48333333333333,3.45,6,5,3.95,6.0625,"troglodytes","07995578"
"39","7ae21bae","9b783f03",49,0,1.625514403,3.48333333333333,3.45,6,5,3.95,6.0625,"troglodytes","07995578"
"40","7ae21bae","9b783f03",47,0,1.36121673,3.48333333333333,3.45,6,5,3.95,6.0625,"troglodytes","07995578"
"41","7ae21bae","9b783f03",49,0,1.53960396,3.48333333333333,3.45,6,5,3.95,6.0625,"troglodytes","07995578"
"42","7ae21bae","9b783f03",45,0,1.331775701,3.48333333333333,3.45,6,5,3.95,6.0625,"troglodytes","07995578"
"43","29e5993c","1b5b4aec",17,1,1.313394,4.08333333333333,6,4.88888888888889,4.6,4.66666666666667,5.5,"hybrid","07995578"
"44","29e5993c","1b5b4aec",17,1,1.313394,5.46666666666667,4.1,3.96428571428571,2.25,3.8,3.75,"hybrid","07995578"
"45","29e5993c","1b5b4aec",17,1,1.378841,4.08333333333333,6,4.88888888888889,4.6,4.66666666666667,5.5,"hybrid","07995578"
"46","29e5993c","1b5b4aec",17,1,1.378841,5.46666666666667,4.1,3.96428571428571,2.25,3.8,3.75,"hybrid","07995578"
"47","29e5993c","1b5b4aec",16,1,1.25093,4.08333333333333,6,4.88888888888889,4.6,4.66666666666667,5.5,"hybrid","07995578"
"48","29e5993c","1b5b4aec",16,1,1.25093,5.46666666666667,4.1,3.96428571428571,2.25,3.8,3.75,"hybrid","07995578"
"49","be2d0cd0","b9c70733",6,0,1.759259259,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
"50","be2d0cd0","b9c70733",6,0,1.489932886,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
"51","be2d0cd0","b9c70733",6,0,1.532846715,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
"52","be2d0cd0","b9c70733",6,0,1.770676692,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
