Day,Month,Year,Observer ID,Start Time,Duration ,Aggression,Victim 1,Support,Supporter 1,Supporter 2,Supporter 3,Supporter 4,Supporter 5,Supporter 6,Dyadic +,Context,Aggressor ,Support,Support 1,Support 2,Support 3,Support 4,Support 5,Contact ,Directed non-contact,Display,Decided interaction,Notes,,,,,,,,
Day,Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,RB,10:37,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"FK displayed and began charging, arma raised and ground slapping. EM + LU were displaced",,,,,,,,
20,Sep,2012,RB,10:37,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,Began displaying and ran around hooting then banged on the door.,,,,,,,,
20,Sep,2012,RB,11:18,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,LB charged through door into Pod 3. LY reacted by screaming.,,,,,,,,
20,Sep,2012,RB,11:18,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"FK charged around Pod 3 not directed at anyone. LY, EM + LU displaced.",,,,,,,,
20,Sep,2012,RB,11:18,34,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,FK charged around and began slapping the wall.,,,,,,,,
20,Sep,2012,RB,12:09,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,RB,14:02,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,RB,14:46,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,LO,Y,Q,EM,,,,,Y,RETAL,LB,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,LB chased LO. Q & EM supported LO and chased LB away,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,LY,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,Q threw a bt of wood at LY then chased her around climbing frame. LY ran away into beds.,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,DA,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,Began displaying and banged against slide door,,,,,,,,
