Animal,Rater,Date,Facility,Fearful,Dominant,Cautious,Curious,Innovative,Bullying,Submissive,Cool,Quitting,Erratic,Anxious,Socially withdrawn,Stable,Autistic,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Active,Helpful,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Conventional,Sensitive,Defiant,Intelligent,Protective,Inventive,Clumsy,Friendly,Lazy,Disorganized,Unemotional,Imitative,Independent,Persistent
WU691823,KB1,04/05/2016,ZX6012,1,7,1,4,4,5,1,7,4,1,1,4,7,2,5,6,4,5,4,5,2,1,2,4,4,1,4,4,4,5,4,4,2,2,3,1,3,4,7,7,7,4,2,4,2,2,1,4,5,1,6,2,7,5
WU691823,CF2,04/05/2016,ZX6012,1,7,1,5,4,4,1,5,3,3,2,1,5,1,2,4,5,5,5,4,3,1,5,4,4,1,6,4,3,5,4,4,3,4,5,1,3,3,5,6,5,5,6,5,5,4,1,4,2,2,5,4,7,6
NU135354,KB1,04/05/2016,ZX6012,1,6,1,6,5,7,2,4,5,7,2,3,5,1,7,6,6,6,7,4,6,1,1,7,2,1,7,1,6,5,2,3,5,5,6,1,6,4,1,5,1,2,5,3,1,4,5,3,1,6,1,4,7,7
NU135354,CF2,04/05/2016,ZX6012,2,6,1,7,6,7,2,2,7,7,1,1,2,1,5,7,7,7,7,4,7,1,1,6,3,2,7,2,7,7,1,4,6,7,7,1,7,5,1,7,1,3,7,3,5,6,3,4,1,5,2,6,7,7
YA844190,KB1,04/05/2016,ZX6012,5,2,5,2,5,3,6,3,5,6,5,5,4,4,4,2,4,4,4,4,5,6,4,5,4,6,5,5,2,2,4,3,5,6,3,5,4,5,2,3,4,4,5,3,4,5,5,4,3,5,3,5,3,2
YA844190,CF2,04/05/2016,ZX6012,5,2,6,4,3,4,6,3,4,5,5,4,3,3,5,2,3,5,3,5,4,6,5,3,3,5,3,6,3,3,5,5,5,4,4,5,3,3,3,3,3,5,3,4,2,3,2,5,5,5,3,5,3,3
GM527322,KB1,04/05/2016,ZX6012,4,1,7,1,2,1,7,1,6,5,7,6,2,5,4,1,4,2,2,3,5,7,6,3,2,7,4,6,1,1,6,6,6,4,1,7,2,2,2,2,3,6,2,4,6,3,6,6,4,6,2,6,1,2
GM527322,CF2,04/05/2016,ZX6012,6,1,7,5,3,1,7,7,3,1,6,5,7,4,4,1,1,6,1,4,3,7,7,2,4,7,3,7,1,1,7,5,1,1,5,7,1,2,7,1,7,6,1,6,1,3,2,5,5,4,7,3,1,1
BE511696,SX1,30/09/2014,UQ6934,3,2,4,4,2,1,5,5,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE511696,RW5,30/09/2014,UQ6934,5,4,5,5,1,2,4,5,4,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XR275555,SX1,30/09/2014,UQ6934,1,7,2,6,5,2,1,2,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XR275555,RW5,30/09/2014,UQ6934,1,7,5,7,1,7,1,4,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB616337,SX1,30/09/2014,UQ6934,1,5,2,6,4,1,1,6,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB616337,RW5,30/09/2014,UQ6934,2,5,4,6,1,2,3,4,4,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GX358062,SX1,30/09/2014,UQ6934,5,1,5,3,1,1,6,2,3,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
